Name;Kurzbeschreibung;Primäres Datenbankmodell;Punkte;Rang; Suchmaschinen;Website;Technische Dokumentation;Entwickler;Erscheinungsjahr;Aktuelle Version;Lizenz;Ausschließlich ein Cloud-Service;DBaaS Angebote;Implementierungssprache;Server Betriebssysteme;Datenschema;Typisierung;XML Unterstützung;Sekundärindizes;SQL Support of SQL;APIs und andere Zugriffskonzepte;Unterstützte Programmiersprachen;Server-seitige Scripts Stored Procedures;Triggers;Partitionierungsmechanismen Methoden zum Speichern von unterschiedlichen Daten auf unterschiedlichen Knoten;Replikationsmechanismen Methoden zum redundanten Speichern von Daten auf mehreren Knoten;MapReduce Bietet ein API für Map/Reduce Operationen;Konsistenzkonzept Methoden zur Sicherstellung der Konsistenz in einem verteilten System;Fremdschlüssel referenzielle Integrität;Transaktionskonzept Unterstützung zur Sicherstellung der Datenintegrität bei nicht-atomaren Datenmanipulationen;Concurrency;Durability Dauerhafte Speicherung der Daten;In-Memory Unterstützung; Graph DBMS;Berechtigungskonzept;; Document Stores; Key-Value Stores; Relational DBMS; Time Series DBMS; Multivalue DBMS;Sekundäre Datenbankmodelle; Object oriented DBMS; RDF Stores; Wide Column Stores; Navigational DBMS; Event Stores; Native XML DBMS; Content Stores
Impala;Analytic DBMS für Hadoop;Relational DBMS;15,07;#36;null;www.cloudera.com/products/open-source/apache-hadoop/impala.html;www.cloudera.com/documentation/enterprise/latest/topics/impala.html;Cloudera;2013;3.3.0, August 2019;Open Source Apache Version 2;nein;;C++;Linux;ja;ja;nein;ja;SQL-like DML and DDL statements;JDBC ODBC;All languages supporting JDBC/ODBC;ja Benutzer definierte Funktionen und Integration von Map/Reduce;nein;Sharding;frei wählbarer Replikationsfaktor;ja Abfragen werden als Map/Reduce Jobs durchgeführt;Eventual Consistency;nein;nein;ja;ja;nein;null;Zugriffsrechte für Benutzer, Gruppen und Rollen basiert auf Apache Sentry und Kerberos;null;null;null; #22 ;null;null;Document Store;null;null;null;null;null;null;null
Strabon;null;RDF Store;0,10;#284;null;www.strabon.di.uoa.gr;null;null;2011;null;Open Source Mozilla public license;nein;;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null; #17 ;null;null;null;null;null
Indica;Enterprise Search Engine;Suchmaschine;0,00;#344; #20 ;indica.nl;null;null;2014;null;kommerziell Teile sind open source;nein;;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
HFSQL;RDBMS für die Entwicklungsumgebungen WINDEV, WINDEV Mobile and WEBDEV früher Name von HFSQL: HyperFileSQL;Relational DBMS;1,18;#138;null;www.windev.com/pcsoft/hfsql.htm;null;PC Soft;null;null;kommerziell;nein;;null;Android iOS Linux OS X Windows;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null; #68 ;null;null;null;null;null;null;null;null;null;null
Redis;In-Memory Datenbank für den Einsatz als Datenbank, Cache oder Message Broker Redis legt höchsten Wert auf Performanz. Bei Designentscheidungen wird typischerweise Performanz der Vorzug vor Features oder Speicherbedarf gegeben.;Key-Value Store Multiple data types and a rich set of operations, as well as configurable data expiration, eviction and persistence;145,24;#8;null;redis.io;redis.io/documentation;Salvatore Sanfilippo Entwicklung von Redis Labs finanziert;2009;5.0.6, September 2019;Open Source BSD 3-Clause, kommerzielle Lizenz verfügbar;nein;;C;BSD Linux OS X Windows portiert und gewartet durch Microsoft Open Technologies, Inc.;schemafrei;teilweise Supported data types are strings, hashes, lists, sets and sorted sets, bit arrays, hyperloglogs and geospatial indexes;nein;ja with RediSearch module;nein;Proprietäres Protokoll RESP - REdis Serialization Protocol;C C# C++ Clojure Crystal D Dart Elixir Erlang Fancy Go Haskell Haxe Java JavaScript (Node.js) Lisp Lua MatLab Objective-C OCaml Pascal Perl PHP Prolog Pure Data Python R Rebol Ruby Rust Scala Scheme Smalltalk Swift Tcl Visual Basic;Lua;nein;Sharding;Master-Slave Replikation Chained replication wird unterstützt Multi-Master Replikation with Redis Enterprise Pack;nein;Eventual Consistency Strong eventual consistency with CRDTs;nein;optimistic Locking;ja Datenzugriffe werden vom Server serialisiert;ja konfigurierbare Persistenzmechanismen via snapshots oder logs;ja;null;Einfacher Passwort-basierter Zugriffsschutz Access control lists and SSL are available in the commercial version;null;null; #1 ;null;null;null;Document Store with Redis Modules Graph DBMS with Redis Modules Suchmaschine with Redis Modules Time Series DBMS with Redis Modules;null;null;null;null;null;null;null
Cachelot.io;In-memory caching system;Key-Value Store;0,00;#344;null;cachelot.io;null;null;2015;null;Open Source Simplified BSD License;nein;;C++;FreeBSD Linux OS X;schemafrei;nein;nein;nein;nein;Memcached Protokoll;.Net C C++ ColdFusion Erlang Java Lisp Lua OCaml OCaml Perl PHP Python Ruby;nein;nein;keine;keine;nein;keine;nein;nein;ja;nein;nein;null;nein;null;null; #63 ;null;null;null;null;null;null;null;null;null;null;null
Nebula Graph;A distributed, linear scalable, high perfomant Graph DBMS;Graph DBMS;null;null;null;github.com.cnpmjs.org/vesoft-inc/nebula nebula-graph.io;docs.nebula-graph.io;Vesoft Inc.;2019;null;Open Source Apache Version 2.0;nein;;C++;Linux;schemafrei;ja;nein;nein;SQL-like query language;null;null;null;null;null;null;nein;null;ja Relationships in graphs;ACID;ja;ja;nein;null;Role-based access control;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Hadapt;null;Relational DBMS;null;null;null;hadapt.com;null;null;null;null;kommerziell;nein;;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Teradata has acquired Hadapt and used it to enhance its Teradata Unified Data Architecture;null;null;null;null;null;null;null;null;null;null;null;null;null
Actian Vector originally named Vectorwise;null;Relational DBMS;0,79;#166;null;www.actian.com/analytic-database/vector-smp-analytic-database;null;null;null;Vector 5.0, Juli 2016;kommerziell;nein;;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null; #81 ;null;null;null;null;null;null;null;null;null;null
Derby oft Apache Derby genannt, ursprÃ¼nglich IBM Cloudscape, unter dem Namen JavaDB im Java SDK enthalten;Full-featured RDBMS with a small footprint, either embedded into a Java application or used as a database server.;Relational DBMS;5,07;#62;null;db.apache.org/derby;db.apache.org/derby/manuals/index.html;Apache Software Foundation;1997;10.15.1.3, Maerz 2019;Open Source Apache Version 2;nein;;Java;Alle Betriebssysteme mit einer Java VM;ja;ja;ja;ja;ja;JDBC;Java;Java Stored Procedures;ja;keine;Master-Slave Replikation;nein;Immediate Consistency;ja;ACID;ja;ja;ja;null;Benutzer mit feingranularem Berechtigungskonzept entsprechend SQL-Standard;null;null;null; #33 ;null;null;null;null;null;null;null;null;null;null
